"date","time","tweet","date_formatted"
2023-03-01,"","animense casi año tarjeta credito heygarantizada problemas incluyendo extranjero","01_03_2023"
2023-03-02,"","gracias segun recuerdo habia dia activar volvere hacerlo tdd tdc gracias","02_03_2023"
2023-03-02,"","exito","02_03_2023"
2023-03-02,""," recomendadisimas pd yotepresto ladrillos hechoenjalisco","02_03_2023"
2023-03-03,"","hola gracias respuesta dm indicaron logre hacer movimiento requeria","03_03_2023"
2023-03-03,"","manifiesto hoy sali enmoradisima subi asi casi voy dar vuelta hermosisimo carro haganme buena","03_03_2023"
2023-03-03,"","resolvio actualizacion app gracias tambien sirvio dm ","03_03_2023"
2023-03-03,"","verdad estan bien","03_03_2023"
2023-03-03,"","definitivamente","03_03_2023"
2023-03-04,"","gracias secuestrar plata ahorro bitcoin fixes this literalmente salva ","04_03_2023"
2023-03-04,"","gracias transferencia aplicada dia siguiente","04_03_2023"
2023-03-06,"","gracias resolvi jajaja equivoque","06_03_2023"
2023-03-06,"","quedo aclarado tema gracias","06_03_2023"
2023-03-07,"","bank run","07_03_2023"
2023-03-07,"","respondi privado saludos","07_03_2023"
2023-03-07,"","bueno saberlo","07_03_2023"
2023-03-08,"","gracias informacion ","08_03_2023"
2023-03-08,"","gracias","08_03_2023"
2023-03-08,"","listo","08_03_2023"
2023-03-08,"","asi da bienvenida tarjeta metal aun beneficios adicionales ","08_03_2023"
2023-03-08,"","cayo app buena experiencia fallen necesita","08_03_2023"
2023-03-08,"","verdad menos tedioso proceso hablar alguien agrada experiencia","08_03_2023"
2023-03-09,"","gracias conteste","09_03_2023"
2023-03-09,"","ayuda","09_03_2023"
2023-03-09,"","gracias volvi contestar par horas","09_03_2023"
2023-03-09,"","mas rapido marcar hacer caa hechos ponia datos queria cambiar hicieron fin pude instalar token chico atendio super bueno amable llama christhian hernandez ","09_03_2023"
2023-03-10,"","avisan van quiebra sacar dinero inversion dias porfas gracias antemano amo ","10_03_2023"
2023-03-11,"","yeah mejores pesar veto","11_03_2023"
2023-03-12,"","gracias","12_03_2023"
2023-03-12,"","solucionado gracias ","12_03_2023"
2023-03-12,"","","12_03_2023"
2023-03-13,"","gracias","13_03_2023"
2023-03-13,"","gracias ","13_03_2023"
2023-03-13,"","siguen hablando horario laboralel personal dhl descuide trabajo significa descuidar miosi van hablar despues hrs pmagradezco vez lean horario hablen puedo atender telefono","13_03_2023"
2023-03-13,"","exacto puntos lealtad cambian tiendapor menos santander tienda tenia tecnologia aiculos hogar mejor cambien mas cashback","13_03_2023"
2023-03-13,"","verdaderamente mejor tqm ","13_03_2023"
2023-03-13,"","bueno pude","13_03_2023"
2023-03-13,"","excelente","13_03_2023"
2023-03-13,"","excelente","13_03_2023"
2023-03-13,"","bien excelente","13_03_2023"
2023-03-13,"","gane mes spotify usuario mejor cambien tarjeta gusta mas blanca negocio ","13_03_2023"
2023-03-13,"","excelente eh trabajo varios años perfecto","13_03_2023"
2023-03-14,"","super ojala pueda corregido app entonces aparecio asi dias repente graciascc","14_03_2023"
2023-03-14,"","wooow emocion","14_03_2023"
2023-03-14,""," nunca gano nadapero hoy empeze bien dia ","14_03_2023"
2023-03-14,"","exito","14_03_2023"
2023-03-15,"","conteste gracias","15_03_2023"
2023-03-15,"","listos ","15_03_2023"
2023-03-15,"","gracias conoci use hoy dejo definitivamente mio recomiendo bancos fintech mexicano","15_03_2023"
2023-03-15,"","cambiate momento mejor probado dan gastas dinero gratis siempre paga tiempo nunca paga intereses","15_03_2023"
2023-03-15,"","wwwooowww maravilla felicidades supuesto ahi estare disfrutar chica dorada","15_03_2023"
2023-03-15,"","verdad agradezco tarjeta debito necesito","15_03_2023"
2023-03-16,"","gracias informacion ahi vemos junio","16_03_2023"
2023-03-16,"","pues bueno ","16_03_2023"
2023-03-16,"","dj increible","16_03_2023"
2023-03-16,"","muchas graciasquedo esperasaludos","16_03_2023"
2023-03-16,"","festival tercermundista felicidades","16_03_2023"
2023-03-16,"","supermana hermosa ","16_03_2023"
2023-03-17,"","gracias seguimiento","17_03_2023"
2023-03-17,"","primera tdc thx","17_03_2023"
2023-03-17,"","gracias respuesta","17_03_2023"
2023-03-17,"","gracias espero pronta respuesta agradecimiento","17_03_2023"
2023-03-17,"","sorprendido permite organicen cosas ","17_03_2023"
2023-03-18,"","gracias siempre super buena rapida atencion pae","18_03_2023"
2023-03-19,"","gracias ","19_03_2023"
2023-03-21,"","hola quiero decirles gracias seguimiento problema token quedo resuelto buena atencion final problema pae sino operadora saludos","21_03_2023"
2023-03-22,"","gracias","22_03_2023"
2023-03-22,"","hagan sufrir mas dinamica tikitoki jajaja ","22_03_2023"
2023-03-23,"","buen dia necesito ayuda","23_03_2023"
2023-03-23,"","excelente servicio atencion clientes nunca cambien ","23_03_2023"
2023-03-23,"","ojito ahi dinamicas dia hoy gane dinamica abono pal noe etiqueta","23_03_2023"
2023-03-24,"","saludos bro gracias ver videos","24_03_2023"
2023-03-24,"","gracias","24_03_2023"
2023-03-24,"","gracias tocayo fan ","24_03_2023"
2023-03-24,"","hola permiteme conocer mas caso via mensaje privado poder dae atencion necesaria rapida saludos","24_03_2023"
2023-03-24,"","ojito ahi dinamicas dia hoy gane dinamica abono pal noe etiqueta","24_03_2023"
2023-03-24,"","facil","24_03_2023"
2023-03-25,"","gracias","25_03_2023"
2023-03-25,"","hola ntp despues intentos pudieron asistir gracias","25_03_2023"
2023-03-26,"","anualidad juntas k libre anualidad mejor pedazo metal visa standard","26_03_2023"
2023-03-26,"","exacto todas duales","26_03_2023"
2023-03-26,"","fondeadora metal world elite","26_03_2023"
2023-03-28,"","ok gracias","28_03_2023"
2023-03-28,"","gracias dios jajaja","28_03_2023"
2023-03-28,"","igual amazon","28_03_2023"
2023-03-28,"","this is the oppounity of lifetime gotta watch this web developers mev strategy video and learn how to make some serious cash with crypto","28_03_2023"
2023-03-28,"","hombre merece mandes ademas grata felicitacion foto especial unica censura autografiada x diosa tw","28_03_2023"
2023-03-28,"","dios pague hijos","28_03_2023"
2023-03-28,"","mandamela llegar jajaja chido resolvio ","28_03_2023"
2023-03-28,"","mando beso tronado apreton nalga angel argello dos horas resolvio asunto llevaba dias estancado agradecida ","28_03_2023"
2023-03-29,"","habia dicho conozco angel timido gustas llegar presente","29_03_2023"
2023-03-29,"","gracias recibi codigo ","29_03_2023"
2023-03-29,"","agradecida mejor","29_03_2023"
2023-03-29,"","tambien agradezco personas querido hacer donaciones vestuario duda agradezco aprecio enormemente gustan donar pueden hacerlo clabe nombre noris vargas g embargo tambien pueden","29_03_2023"
2023-03-29,"","jajaja bien","29_03_2023"
2023-03-29,"","ojito ahi dinamicas dia hoy gane dinamica abono pal noe etiqueta","29_03_2023"
2023-03-29,"","amigues primera vez vida gane dinamica jajajajaja gracias gane pastel dinamica ","29_03_2023"
2023-03-30,"","tantas juntas cashback viendo beneficios dan ganas sacar tarjetas amp","30_03_2023"
2023-03-30,"","tambien agradezco personas querido hacer donaciones vestuario duda agradezco aprecio","30_03_2023"
2023-03-31,"","gracias supongo asi semana santa correcto saludos","31_03_2023"
2023-03-31,"","gracias estare pendiente responda","31_03_2023"
2023-03-31,"","secreto contesten rapido cuento bebiendo ojala paguen resuelven super rapido","31_03_2023"
