"topic","term","beta"
1,"gracias",0.0571428571428577
3,"gracias",0.0853658536585373
4,"gracias",0.241758234491855
3,"saludos",0.048780487804878
4,"verdad",0.0219780213174557
3,"buen",0.0365853658536585
3,"credito",0.0365853658536585
3,"dia",0.0365853658536585
4,"quedo",0.0219780213174557
1,"mes",0.0428571428571428
2,"duda",0.0338983066561764
4,"abrazo",0.0219780213174557
4,"amable",0.0219780213174557
4,"atencion",0.0219780213174557
1,"hola",0.0428571428571428
2,"tarjeta",0.0338983066561764
4,"listos",0.0219780213174557
2,"servicio",0.0338983066561764
4,"bien",0.0219780213174557
