"topic","term","beta"
3,"gracias",0.223880597014925
4,"gracias",0.0897435897435898
1,"correo",0.027027027027027
2,"cuenta",0.0298507462686567
1,"electronico",0.027027027027027
1,"gusto",0.027027027027027
1,"mas",0.027027027027027
1,"tarjeta",0.027027027027027
1,"excelente",0.027027027027027
2,"resta",0.0298507462686567
4,"hola",0.0384615384615385
1,"notificacion",0.027027027027027
1,"algun",0.027027027027027
3,"nomina",0.0298507462686567
4,"quedo",0.0384615384615385
1,"aun",0.027027027027027
1,"duda",0.027027027027027
1,"funciona",0.027027027027027
1,"garantizada",0.027027027027027
1,"mitad",0.027027027027027
1,"semanapara",0.027027027027027
2,"bancos",0.0298507462686567
2,"estan",0.0447761194029851
2,"recomiendo",0.0298507462686567
3,"tambien",0.0447761194029851
3,"control",0.0298507462686567
3,"finanzas",0.0298507462686567
3,"movimientos",0.0298507462686567
3,"notificaciones",0.0298507462686567
3,"siempre",0.0298507462686567
2,"boleto",0.0298507462686567
2,"dorado",0.0298507462686567
