"topic","term","beta"
3,"año",0.0224719101123596
4,"mejor",0.068493143981558
2,"opcion",0.0350877189748676
3,"parece",0.0224719101123596
2,"buenas",0.0350877189748676
2,"tambien",0.0350877189748676
3,"gracias",0.0786516853932585
4,"gracias",0.0547945209422613
4,"mande",0.0273972604711307
3,"agradezco",0.0224719101123596
3,"jajajaja",0.0224719101123596
3,"oye",0.0224719101123596
4,"correo",0.0273972604711307
4,"jajaja",0.0273972604711307
3,"quedo",0.0224719101123596
4,"listo",0.0273972604711307
1,"comisiones",0.0941176470588235
1,"contratacion",0.105882352941176
1,"linea",0.0941176470588235
2,"hola",0.0350877189748676
3,"contacto",0.0224719101123596
3,"pondre",0.0224719101123596
3,"cambios",0.0224719101123596
