"","x"
"saludos",4
"mas",4
"buen",3
"credito",3
"dia",3
"mes",3
"hola",3
"asi",2
"verdad",2
"facil",2
"quedo",2
"duda",2
"caso",2
"rapido",2
"abrazo",2
"amable",2
"atencion",2
"años",2
"movimientos",2
"recomiendo",2
"tarjeta",2
"sencillo",2
"saque",2
"hacer",2
"mejor",2
"probado",2
"excelente",2
"listo",2
"tipo",2
"listos",2
"servicio",2
"bien",2
"amo",2
"app",2
"apoacion",1
"aprendan",1
"cliente",1
"debe",1
"dinero",1
"llamo",1
"meter",1
"mexico",1
"servicioalcliente",1
"tratar",1
"alguna",1
"caja",1
"lucha",1
"obtenga",1
"peor",1
"popular",1
"espera",1
"apoyosaludos",1
"deje",1
"solicitando",1
"valioso",1
"gratis",1
"envie",1
"gusto",1
"ojala",1
"responder",1
"solucionado",1
"deben",1
"dice",1
"hacerlo",1
"lic",1
"negar",1
"tres",1
"volvere",1
"fuee",1
"hare",1
"nuevo",1
"favor",1
"desbloqueo",1
"lograr",1
"responderacabo",1
"espero",1
"dudes",1
"jajajajjaja",1
"mandarme",1
"mensajito",1
"trabajo",1
"vic",1
"buenos",1
"diseños",1
"control",1
"finanzas",1
"notificaciones",1
"siempre",1
"tambien",1
"informacion",1
"pendiente",1
"ampliamente",1
"cambie",1
"chulada",1
"feliz",1
"free",1
"parecio",1
"santander",1
"alli",1
"comunique",1
"founa",1
"resolvieron",1
"suee",1
"now",1
"tarjetas",1
"bebe",1
"ire",1
"lol",1
"perfecto",1
"punto",1
"bancos",1
"cashback",1
"cuanto",1
"debes",1
"diferentes",1
"efectivo",1
"exactamente",1
"futuros",1
"lista",1
"manejando",1
"momento",1
"msi",1
"pagos",1
"permite",1
"tendras",1
"total",1
"tradicionales",1
"ver",1
"centro",1
"oye",1
"personal",1
"respuesta",1
"tiempo",1
"servie",1
"ademas",1
"celular",1
"rendimiento",1
"super",1
"tasa",1
"mande",1
"entrare",1
"levantar",1
"repoe",1
"beneficios",1
"coqueta",1
"reales",1
"palnoe",1
"arreglado",1
"resuelto",1
"sopoe",1
"felicitacion",1
"conviee",1
"experiencia",1
"habia",1
"increible",1
"mala",1
"metodos",1
"nunca",1
"operacion",1
"pagar",1
"pagina",1
"pago",1
"sencilla",1
"situacion",1
"toda",1
"usuario",1
"web",1
"dato",1
"vaaaaa",1
"autorizaron",1
"carro",1
"contrato",1
"factura",1
"fecha",1
"firmar",1
"junio",1
"llaman",1
"lunes",1
"merkauto",1
"proceso",1
"puedo",1
"saber",1
"tardando",1
"usado",1
"atentos",1
"compao",1
"correo",1
"esten",1
"llega",1
"llegar",1
"ponganse",1
"quieren",1
"vean",1
"cabron",1
"jaja",1
"bonita",1
"detecta",1
"fiiiin",1
"gastos",1
"huella",1
"luz",1
"metricas",1
"modificaron",1
"pague",1
"seccion",1
"temas",1
"hice",1
"instalar",1
"resolvio",1
"volviendo",1
"envio",1
"real",1
"aplicacion",1
"banamex",1
"hsbc",1
"nel",1
"visto",1
"abri",1
"ahi",1
"ahorros",1
"cuenta",1
"inversion",1
"mejores",1
"pro",1
"puedes",1
"rendimientos",1
