"","x"
"quedo",4
"ahi",4
"cuenta",4
"mas",4
"bien",4
"problema",3
"servicio",3
"uso",3
"recomiendo",3
"resuelto",2
"datos",2
"mensaje",2
"respondi",2
"creo",2
"rapido",2
"hola",2
"entonces",2
"resolvieron",2
"ayer",2
"rappicard",2
"tarjeta",2
"queja",2
"dias",2
"seguimiento",1
"adjunto",1
"bancarios",1
"cieo",1
"comun",1
"cosa",1
"dato",1
"digital",1
"evidencia",1
"excelente",1
"llegando",1
"pues",1
"transferencias",1
"utilizo",1
"solucionado",1
"estaria",1
"super",1
"abre",1
"bancaria",1
"bancario",1
"bancos",1
"digitales",1
"facil",1
"fintech",1
"integrado",1
"nuevos",1
"simplemente",1
"sistema",1
"recuerdo",1
"ayudan",1
"buenas",1
"confirmar",1
"favor",1
"limites",1
"maximo",1
"modificar",1
"monto",1
"puedo",1
"tardes",1
"transferir",1
"amable",1
"conocido",1
"daban",1
"habia",1
"opcion",1
"prestamos",1
"queria",1
"recomendado",1
"salen",1
"sugerirle",1
"acaba",1
"llegar",1
"acuerdo",1
"jaja",1
"maravilla",1
"mercado",1
"pago",1
"pasa",1
"cliente",1
"gran",1
"espero",1
"hrs",1
"llegado",1
"llego",1
"transferencia",1
"clientes",1
"hice",1
"jalando",1
"lana",1
"llevo",1
"mejor",1
"pagan",1
"problemas",1
"saludos",1
"saque",1
"tambien",1
"tiempo",1
"todaa",1
"agradezco",1
"brevedad",1
"explique",1
"respuesta",1
"situacion",1
"escribi",1
"pelaron",1
"dia",1
"hoy",1
"mil",1
"oficina",1
"primer",1
"regreso",1
"vida",1
"boletodorado",1
"camara",1
"charlie",1
"chocolates",1
"fabrica",1
"faltan",1
"fin",1
"ganador",1
"heypoints",1
"senti",1
"toco",1
"xbox",1
"actualizacion",1
"gusto",1
"hicieron",1
"notes",1
"release",1
"tarjetas",1
"terjeta",1
"typo",1
"ver",1
"aparecer",1
"despues",1
"final",1
"justo",1
"momento",1
"paso",1
"rato",1
"vuelve",1
"aun",1
"bensonhack",1
"comunique",1
"confiable",1
"encarecidamente",1
"graficarlos",1
"instagram",1
"puedes",1
"relacionado",1
"solucionar",1
"sugiero",1
"whatsapp",1
"acepta",1
"ademas",1
"anualidad",1
"comunidarks",1
"cosas",1
"credito",1
"debito",1
"dual",1
"especificas",1
"recomendaron",1
"recompensas",1
"ticketmaster",1
"favorablemente",1
"guen",1
"resuelven",1
"siemrpe",1
"traen",1
"cargo",1
"dicen",1
"proceso",1
"pueden",1
"reconocido",1
"semana",1
"siempre",1
"tardo",1
"varios",1
"lleno",1
"compair",1
"hablan",1
"quejas",1
"trabajan",1
"banoe",1
"habiles",1
"llegan",1
"mail",1
"menos",1
"recompensa",1
"total",1
