"","x"
"tarjeta",13
"hola",5
"buen",4
"credito",4
"primera",4
"problema",4
"bbva",4
"buena",3
"dia",3
"dorado",3
"gane",3
"regalo",3
"opcion",3
"problemas",3
"excelente",3
"mejor",3
"cetes",3
"servicio",3
"diseño",3
"bien",3
"informacion",2
"cuenta",2
"buenas",2
"tardes",2
"amazon",2
"asi",2
"contenta",2
"tdc",2
"ayuda",2
"mensaje",2
"anual",2
"pagares",2
"rapido",2
"solucionado",2
"dinero",2
"seguro",2
"boleto",2
"despues",2
"rato",2
"vida",2
"app",2
"correo",2
"verdad",2
"bueno",2
"transferencias",2
"mas",2
"listo",2
"año",2
"respondi",2
"tqm",2
"inveir",2
"hice",2
"comentario",2
"tremenda",2
"bonito",2
"gustaria",2
"checo",1
"financiero",1
"habra",1
"viaje",1
"dato",1
"soeo",1
"ayudar",1
"deposito",1
"mepueden",1
"necesito",1
"realizaron",1
"soluciono",1
"realizaregracias",1
"compre",1
"diciembre",1
"emociona",1
"estose",1
"señora",1
"ticket",1
"funciono",1
"mil",1
"adaptarme",1
"aun",1
"aunque",1
"camino",1
"creo",1
"enojar",1
"graves",1
"hagan",1
"momento",1
"necesario",1
"ocasiones",1
"procesos",1
"van",1
"mmm",1
"rendimiento",1
"aumento",1
"servicios",1
"ajolotes",1
"encanto",1
"hablando",1
"sacara",1
"adelantado",1
"cuentas",1
"intereses",1
"meses",1
"pagos",1
"pudiera",1
"realizar",1
"seria",1
"usuarios",1
"afounadamente",1
"alguien",1
"aqui",1
"arreglo",1
"casi",1
"contactalo",1
"enviale",1
"equipo",1
"obtuve",1
"privado",1
"refirio",1
"rindo",1
"sopoe",1
"twitter",1
"automatica",1
"compuesto",1
"forma",1
"generas",1
"interes",1
"muchisimo",1
"obtienes",1
"pagare",1
"puedes",1
"reinveir",1
"rendimientos",1
"semana",1
"semanales",1
"siguiente",1
"alch",1
"chido",1
"gmb",1
"hechate",1
"investigadas",1
"investigar",1
"ocupas",1
"atencion",1
"clientes",1
"dor",1
"quiero",1
"vez",1
"duda",1
"familia",1
"formar",1
"gran",1
"pae",1
"dijeron",1
"eches",1
"favorito",1
"hoy",1
"relajes",1
"starbucks",1
"ten",1
"recomendado",1
"vdd",1
"fit",1
"seguros",1
"ver",1
"viable",1
"activada",1
"aplicacion",1
"encontre",1
"interesante",1
"necesitan",1
"permisos",1
"utiliza",1
"imagen",1
"intenta",1
"telefono",1
"cambio",1
"celular",1
"numero",1
"ocupo",1
"token",1
"agustoque",1
"ahi",1
"cambiar",1
"dicen",1
"nomina",1
"pensado",1
"sacar",1
"internacionales",1
"relacion",1
"veo",1
"pues",1
"vale",1
"acaba",1
"constancia",1
"fiscal",1
"guardado",1
"llegar",1
"nomas",1
"pasado",1
"tener",1
"amex",1
"anualidad",1
"beneficios",1
"bonos",1
"compras",1
"gratis",1
"jamas",1
"menos",1
"primer",1
"estare",1
"pendiente",1
"respuesta",1
"hehe",1
"noche",1
"pense",1
"respondian",1
"tarde",1
"cajeros",1
"cerquita",1
"hsbc",1
"poner",1
"retiros",1
"saludos",1
"general",1
"neta",1
"real",1
"fisica",1
"nunca",1
"pedi",1
"pedire",1
"recomendacion",1
"ganancias",1
"genera",1
"puedo",1
"necesitaba",1
"nueva",1
"perdi",1
"ademas",1
"ando",1
"bancarios",1
"bancos",1
"dinerito",1
"foraneo",1
"mejores",1
"producto",1
"sabe",1
"atraen",1
"coleccionable",1
"diseños",1
"embargo",1
"llegarme",1
"metal",1
"metalica",1
"nuevo",1
"pedir",1
"perder",1
"quisiera",1
"solicitar",1
"utilizarlarecien",1
"ahorita",1
"amo",1
"bro",1
"envie",1
"espera",1
"quedo",1
"responder",1
"solucion",1
"varias",1
"chip",1
"cuestion",1
"inconveniente",1
"limpiar",1
"pasarla",1
"veces",1
"colaboracion",1
"compairles",1
"contesta",1
"evidente",1
"mencionas",1
"relevancia",1
"agradecemos",1
"comprension",1
"increible",1
"jaja",1
"aproximadamente",1
"avisaron",1
"correcto",1
"perfecto",1
"alimento",1
"anonadado",1
"cantidad",1
"creia",1
"entregaban",1
"explicacion",1
"garantia",1
"indigentes",1
"niños",1
"ponia",1
"quede",1
"sabiduria",1
"utilizaba",1
"padrisima",1
"adquirir",1
"considerar",1
"datos",1
"mande",1
"dalay",1
"falla",1
"intermitencias",1
"sigues",1
"chichen",1
"esperando",1
"habia",1
"itza",1
"modelo",1
"tambien",1
"bancoppel",1
"dos",1
"perfeccion",1
"trabajan",1
"agradezco",1
"caer",1
"disponible",1
"entiendo",1
"estara",1
"mucha",1
"notificacion",1
"recibir",1
"seguir",1
"sirve",1
"situacion",1
"sugerencia",1
"texto",1
"utilidad",1
"poderosa",1
"siento",1
"altamente",1
"eficiente",1
"maravilla",1
"recomendable",1
"cool",1
"mia",1
"super",1
