"topic","term","beta"
1,"app",0.0512820512820513
3,"app",0.0333333333333333
1,"encantan",0.0256410256410256
1,"fallas",0.0256410256410256
1,"repoadas",0.0256410256410256
1,"respuestas",0.0256410256410256
3,"abri",0.0333333333333333
3,"ahorrar",0.0333333333333333
3,"banamex",0.0333333333333333
3,"casi",0.0333333333333333
3,"cobran",0.0333333333333333
3,"costo",0.0333333333333333
3,"creo",0.0333333333333333
3,"cuenta",0.0333333333333333
4,"cuenta",0.0434782608695652
3,"debito",0.0333333333333333
3,"fisica",0.0333333333333333
3,"heejej",0.0333333333333333
3,"manejo",0.0333333333333333
3,"minimo",0.0333333333333333
3,"nomina",0.0333333333333333
3,"pedir",0.0333333333333333
3,"pedo",0.0333333333333333
3,"piden",0.0333333333333333
3,"puedes",0.0333333333333333
3,"tmb",0.0333333333333333
3,"usaba",0.0333333333333333
3,"uso",0.0333333333333333
3,"aprovecho",0.0333333333333333
3,"años",0.0333333333333333
3,"dos",0.0333333333333333
3,"lqm",0.0333333333333333
3,"queja",0.0333333333333333
3,"recomendarles",0.0333333333333333
3,"sola",0.0333333333333333
3,"tuit",0.0333333333333333
1,"aumenten",0.0256410256410256
1,"credito",0.0256410256410256
1,"lineas",0.0256410256410256
1,"mejor",0.0256410256410256
1,"ilimitado",0.0256410256410256
1,"increible",0.0512820512820513
1,"jajajaja",0.0256410256410256
1,"suena",0.0256410256410256
1,"ademas",0.0256410256410256
1,"cashback",0.0256410256410256
1,"compras",0.0256410256410256
1,"encanta",0.0256410256410256
1,"intuitiva",0.0256410256410256
1,"simplemente",0.0256410256410256
1,"super",0.0256410256410256
1,"todas",0.0256410256410256
1,"gracias",0.0256410256410256
4,"gracias",0.0869565217391304
1,"conseguir",0.0256410256410256
1,"diseños",0.0256410256410256
1,"elegir",0.0256410256410256
1,"preguntan",0.0256410256410256
1,"pueden",0.0256410256410256
1,"sacar",0.0256410256410256
1,"tarjeta",0.0256410256410256
4,"fin",0.0652173913043478
2,"heymedia",0.0666666666666667
2,"somoshey",0.0666666666666667
2,"comerciales",0.0666666666666667
1,"apoyo",0.0256410256410256
1,"cdmx",0.0256410256410256
1,"favor",0.0256410256410256
1,"modulos",0.0256410256410256
1,"saber",0.0256410256410256
1,"amo",0.0256410256410256
1,"msi",0.0256410256410256
1,"tenencia",0.0256410256410256
