"topic","term","beta"
4,"bien",0.071428571428376
1,"competencia",0.0322608598623938
1,"encanta",0.0322608598623938
3,"año",0.0289855072463706
2,"excelente",0.0307666879308782
2,"opcion",0.0307666879308782
2,"gracias",0.107683407758074
3,"gracias",0.0289855072463706
2,"tarjeta",0.0307666879308782
2,"clientes",0.0307666879308782
2,"mejor",0.0461500318963173
4,"verdad",0.0285714285714346
1,"cliente",0.0322608598623938
4,"bueno",0.0285714285714346
1,"mercado",0.0322608598623938
3,"tio",0.0289855072463706
1,"pago",0.0322608598623938
