"","x"
"dia",7
"hoy",6
"mejor",6
"gane",6
"dinamica",6
"jajaja",5
"saludos",5
"mas",5
"excelente",5
"ahi",5
"agradezco",5
"tarjeta",4
"hacer",4
"hola",4
"asi",4
"buena",4
"tambien",4
"bien",4
"bueno",4
"super",4
"atencion",4
"respuesta",3
"app",3
"resolvio",3
"verdad",3
"this",3
"metal",3
"rapido",3
"dias",3
"cambien",3
"nunca",3
"abono",3
"dinamicas",3
"etiqueta",3
"noe",3
"ojito",3
"pal",3
"casi",2
"habia",2
"hacerlo",2
"tdc",2
"exito",2
"definitivamente",2
"quedo",2
"privado",2
"informacion",2
"beneficios",2
"experiencia",2
"hablar",2
"menos",2
"conteste",2
"ayuda",2
"horas",2
"pude",2
"token",2
"dinero",2
"sacar",2
"van",2
"despues",2
"horario",2
"trabajo",2
"vez",2
"cashback",2
"exacto",2
"ojala",2
"dan",2
"paga",2
"siempre",2
"estare",2
"felicidades",2
"necesito",2
"seguimiento",2
"primera",2
"pae",2
"rapida",2
"problema",2
"anualidad",2
"juntas",2
"dios",2
"llegar",2
"agradecida",2
"angel",2
"aprecio",2
"donaciones",2
"duda",2
"personas",2
"pueden",2
"querido",2
"vestuario",2
"animense",1
"año",1
"credito",1
"extranjero",1
"heygarantizada",1
"incluyendo",1
"problemas",1
"activar",1
"recuerdo",1
"segun",1
"tdd",1
"volvere",1
"hechoenjalisco",1
"ladrillos",1
"recomendadisimas",1
"yotepresto",1
"indicaron",1
"logre",1
"movimiento",1
"requeria",1
"carro",1
"dar",1
"enmoradisima",1
"haganme",1
"hermosisimo",1
"manifiesto",1
"sali",1
"subi",1
"voy",1
"vuelta",1
"actualizacion",1
"sirvio",1
"estan",1
"ahorro",1
"bitcoin",1
"fixes",1
"literalmente",1
"plata",1
"salva",1
"secuestrar",1
"aplicada",1
"siguiente",1
"transferencia",1
"equivoque",1
"resolvi",1
"aclarado",1
"tema",1
"bank",1
"run",1
"respondi",1
"saberlo",1
"listo",1
"adicionales",1
"aun",1
"bienvenida",1
"cayo",1
"fallen",1
"necesita",1
"agrada",1
"alguien",1
"proceso",1
"tedioso",1
"contestar",1
"par",1
"volvi",1
"amable",1
"atendio",1
"caa",1
"cambiar",1
"chico",1
"christhian",1
"datos",1
"fin",1
"hechos",1
"hernandez",1
"hicieron",1
"instalar",1
"llama",1
"marcar",1
"ponia",1
"queria",1
"amo",1
"antemano",1
"avisan",1
"inversion",1
"porfas",1
"quiebra",1
"mejores",1
"pesar",1
"veto",1
"yeah",1
"solucionado",1
"atender",1
"descuidar",1
"descuide",1
"dhl",1
"hablando",1
"hablen",1
"hrs",1
"laboralel",1
"lean",1
"miosi",1
"personal",1
"pmagradezco",1
"puedo",1
"significa",1
"siguen",1
"telefono",1
"aiculos",1
"cambian",1
"hogar",1
"lealtad",1
"puntos",1
"santander",1
"tecnologia",1
"tenia",1
"tienda",1
"tiendapor",1
"tqm",1
"verdaderamente",1
"blanca",1
"gusta",1
"mes",1
"negocio",1
"spotify",1
"usuario",1
"años",1
"perfecto",1
"varios",1
"aparecio",1
"corregido",1
"entonces",1
"graciascc",1
"pueda",1
"repente",1
"emocion",1
"wooow",1
"empeze",1
"gano",1
"nadapero",1
"listos",1
"bancos",1
"conoci",1
"dejo",1
"fintech",1
"mexicano",1
"mio",1
"recomiendo",1
"use",1
"cambiate",1
"gastas",1
"gratis",1
"intereses",1
"momento",1
"probado",1
"tiempo",1
"chica",1
"disfrutar",1
"dorada",1
"maravilla",1
"supuesto",1
"wwwooowww",1
"debito",1
"junio",1
"vemos",1
"pues",1
"increible",1
"esperasaludos",1
"graciasquedo",1
"muchas",1
"festival",1
"tercermundista",1
"hermosa",1
"supermana",1
"thx",1
"agradecimiento",1
"espero",1
"pronta",1
"cosas",1
"organicen",1
"permite",1
"sorprendido",1
"decirles",1
"final",1
"operadora",1
"quiero",1
"resuelto",1
"sino",1
"hagan",1
"sufrir",1
"tikitoki",1
"buen",1
"clientes",1
"servicio",1
"bro",1
"ver",1
"videos",1
"fan",1
"tocayo",1
"caso",1
"conocer",1
"dae",1
"mensaje",1
"necesaria",1
"permiteme",1
"poder",1
"via",1
"facil",1
"asistir",1
"intentos",1
"ntp",1
"pudieron",1
"libre",1
"pedazo",1
"standard",1
"visa",1
"duales",1
"todas",1
"elite",1
"fondeadora",1
"world",1
"amazon",1
"igual",1
"and",1
"cash",1
"crypto",1
"developers",1
"gotta",1
"how",1
"learn",1
"lifetime",1
"make",1
"mev",1
"oppounity",1
"serious",1
"some",1
"strategy",1
"the",1
"video",1
"watch",1
"web",1
"with",1
"ademas",1
"autografiada",1
"censura",1
"diosa",1
"especial",1
"felicitacion",1
"foto",1
"grata",1
"hombre",1
"mandes",1
"merece",1
"unica",1
"hijos",1
"pague",1
"chido",1
"mandamela",1
"apreton",1
"argello",1
"asunto",1
"beso",1
"dos",1
"estancado",1
"llevaba",1
"mando",1
"nalga",1
"tronado",1
"conozco",1
"dicho",1
"gustas",1
"presente",1
"timido",1
"codigo",1
"recibi",1
"clabe",1
"donar",1
"embargo",1
"enormemente",1
"gustan",1
"nombre",1
"noris",1
"vargas",1
"amigues",1
"jajajajaja",1
"pastel",1
"vida",1
"amp",1
"ganas",1
"tantas",1
"tarjetas",1
"viendo",1
"correcto",1
"santa",1
"semana",1
"supongo",1
"pendiente",1
"responda",1
"bebiendo",1
"contesten",1
"cuento",1
"paguen",1
"resuelven",1
"secreto",1
