"topic","term","beta"
1,"buen",0.0652173913043478
1,"meses",0.0434782608695652
1,"uso",0.0434782608695652
2,"nunca",0.0327868852459016
3,"gracias",0.024390243902439
4,"gracias",0.203389830508475
2,"recomiendo",0.0655737704918033
4,"atencion",0.0338983050847458
3,"ahi",0.024390243902439
3,"app",0.024390243902439
3,"apuros",0.024390243902439
3,"ayuda",0.024390243902439
3,"cel",0.024390243902439
3,"comunique",0.024390243902439
3,"cuanto",0.024390243902439
3,"dato",0.024390243902439
3,"den",0.024390243902439
3,"digan",0.024390243902439
3,"facilidad",0.024390243902439
3,"facilidades",0.024390243902439
3,"hice",0.024390243902439
3,"mail",0.024390243902439
3,"modificaractualizar",0.024390243902439
3,"nomas",0.024390243902439
3,"numero",0.024390243902439
3,"responden",0.024390243902439
3,"sacan",0.024390243902439
3,"sugerencia",0.024390243902439
3,"telefono",0.024390243902439
3,"ver",0.024390243902439
3,"viene",0.024390243902439
1,"hola",0.0434782608695652
2,"mas",0.0327868852459016
3,"mas",0.024390243902439
1,"amo",0.0434782608695652
2,"asi",0.0327868852459016
3,"asi",0.024390243902439
3,"tarjeta",0.024390243902439
3,"acorde",0.024390243902439
3,"anime",0.024390243902439
3,"boletos",0.024390243902439
3,"cine",0.024390243902439
3,"coleccion",0.024390243902439
3,"comprar",0.024390243902439
3,"conocer",0.024390243902439
3,"detalles",0.024390243902439
3,"invitarnos",0.024390243902439
3,"nueva",0.024390243902439
3,"obsequios",0.024390243902439
3,"pelicula",0.024390243902439
3,"rascaldoesnotdream",0.024390243902439
3,"retro",0.024390243902439
4,"credito",0.0338983050847458
