"","x"
"app",3
"cuenta",3
"fin",3
"abri",2
"increible",2
"super",2
"heymedia",2
"somoshey",2
"comerciales",2
"amo",2
"encantan",1
"fallas",1
"repoadas",1
"respuestas",1
"ahorrar",1
"banamex",1
"casi",1
"cobran",1
"costo",1
"creo",1
"debito",1
"fisica",1
"heejej",1
"manejo",1
"minimo",1
"nomina",1
"pedir",1
"pedo",1
"piden",1
"puedes",1
"tmb",1
"usaba",1
"uso",1
"aprovecho",1
"años",1
"dos",1
"lqm",1
"queja",1
"recomendarles",1
"sola",1
"tuit",1
"interesante",1
"aumenten",1
"credito",1
"lineas",1
"mejor",1
"ilimitado",1
"jajajaja",1
"suena",1
"agradecido",1
"bueno",1
"mas",1
"mero",1
"ocupan",1
"peenecer",1
"solucione",1
"thkss",1
"ademas",1
"cashback",1
"compras",1
"encanta",1
"intuitiva",1
"simplemente",1
"todas",1
"aaawww",1
"bonito",1
"cola",1
"chiquito",1
"humilde",1
"trae",1
"conseguir",1
"diseños",1
"elegir",1
"preguntan",1
"pueden",1
"sacar",1
"tarjeta",1
"empezare",1
"hacer",1
"dije",1
"far",1
"fijat",1
"good",1
"jajaj",1
"amixe",1
"dhl",1
"dias",1
"encantado",1
"llego",1
"mira",1
"pues",1
"rapido",1
"amor",1
"aqui",1
"celebra",1
"colecciones",1
"descubre",1
"estilo",1
"favoritas",1
"marcas",1
"regalos",1
"san",1
"sanvalentin",1
"ultimas",1
"valentin",1
"año",1
"chiefs",1
"dejo",1
"ganadores",1
"jlo",1
"kansas",1
"mainscorsese",1
"michaelcera",1
"sblviii",1
"superbowl",1
"apoyo",1
"cdmx",1
"favor",1
"modulos",1
"saber",1
"arreglo",1
"msi",1
"tenencia",1
"recupere",1
"perfecto",1
"informacion",1
"util",1
