"topic","term","beta"
3,"akamba",0.037037037037037
3,"aprovecha",0.037037037037037
3,"cael",0.037037037037037
3,"disfruta",0.037037037037037
3,"etapa",0.037037037037037
3,"gracias",0.296296296296296
3,"pre",0.037037037037037
3,"presentada",0.037037037037037
3,"regresa",0.037037037037037
3,"unica",0.037037037037037
3,"venta",0.037037037037037
4,"banca",0.0333333333333333
4,"bloqueado",0.0333333333333333
4,"cel",0.0333333333333333
4,"computadora",0.0333333333333333
4,"dira",0.0333333333333333
4,"entra",0.0333333333333333
4,"facil",0.0333333333333333
1,"linea",0.0222222222222222
4,"linea",0.0333333333333333
4,"listo",0.0666666666666667
4,"mio",0.0666666666666667
4,"pones",0.0333333333333333
4,"resolvio",0.0333333333333333
4,"suee",0.0333333333333333
4,"token",0.0333333333333333
2,"mas",0.0769230769230769
4,"mas",0.0333333333333333
1,"asi",0.0222222222222222
4,"asi",0.0333333333333333
1,"ayuda",0.0222222222222222
2,"ayuda",0.0769230769230769
4,"ayuda",0.0333333333333333
4,"ayudae",0.0333333333333333
4,"charliehack",0.0333333333333333
1,"mejor",0.0222222222222222
4,"mejor",0.0333333333333333
4,"opcion",0.0333333333333333
4,"problema",0.0333333333333333
4,"rapida",0.0333333333333333
4,"recomendaron",0.0333333333333333
4,"recomiendo",0.0333333333333333
4,"recupere",0.0333333333333333
4,"solucionar",0.0333333333333333
4,"telegram",0.0333333333333333
3,"solucione",0.037037037037037
1,"buenos",0.0222222222222222
1,"cuenta",0.0222222222222222
1,"dias",0.0222222222222222
1,"fin",0.0222222222222222
1,"llevo",0.0222222222222222
1,"pagar",0.0444444444444445
1,"principal",0.0222222222222222
1,"regresan",0.0222222222222222
1,"semana",0.0222222222222222
1,"tarjetas",0.0222222222222222
1,"todas",0.0222222222222222
1,"transferecias",0.0222222222222222
1,"transferir",0.0222222222222222
1,"tratando",0.0222222222222222
1,"amigable",0.0222222222222222
1,"aplicacion",0.0222222222222222
1,"carrera",0.0222222222222222
1,"cliente",0.0222222222222222
1,"fintech",0.0222222222222222
1,"funciona",0.0222222222222222
1,"gano",0.0222222222222222
1,"siempre",0.0222222222222222
3,"amo",0.037037037037037
1,"app",0.0222222222222222
3,"app",0.037037037037037
3,"entrar",0.037037037037037
3,"pude",0.037037037037037
3,"saludos",0.037037037037037
1,"aumentar",0.0222222222222222
1,"credito",0.0222222222222222
1,"garantizada",0.0222222222222222
2,"garantizada",0.0769230769230769
1,"tarjeta",0.0222222222222222
3,"confirmo",0.037037037037037
3,"estimado",0.037037037037037
3,"acuerdo",0.037037037037037
1,"deja",0.0222222222222222
1,"duda",0.0222222222222222
1,"error",0.0222222222222222
1,"igual",0.0222222222222222
1,"marca",0.0222222222222222
1,"pasa",0.0222222222222222
1,"problemas",0.0222222222222222
1,"telefonos",0.0222222222222222
1,"ver",0.0222222222222222
1,"apple",0.0222222222222222
1,"pay",0.0222222222222222
1,"puedo",0.0222222222222222
1,"wey",0.0222222222222222
