"topic","term","beta"
2,"aprovecha",0.0166666666666667
2,"clientes",0.0166666666666667
2,"compras",0.0166666666666667
2,"efectivo",0.0166666666666667
2,"list",0.0166666666666667
2,"promocion",0.0166666666666667
2,"recibe",0.0166666666666667
2,"recompensas",0.0333333333333333
2,"temporada",0.0166666666666667
2,"credito",0.0166666666666667
3,"credito",0.0357142857142857
2,"completa",0.0166666666666667
2,"coreo",0.0166666666666667
2,"final",0.0166666666666667
1,"gusto",0.02
2,"gusto",0.0166666666666667
2,"indio",0.0166666666666667
2,"interpretan",0.0166666666666667
2,"llama",0.0166666666666667
2,"luz",0.0166666666666667
2,"obra",0.0166666666666667
2,"salido",0.0166666666666667
3,"meses",0.0357142857142857
2,"solucion",0.0166666666666667
1,"condiciones",0.02
1,"favor",0.04
1,"terminos",0.02
2,"aprende",0.0166666666666667
2,"breve",0.0166666666666667
2,"cobrar",0.0166666666666667
2,"depositar",0.0166666666666667
2,"economia",0.0166666666666667
2,"gazagenocide",0.0166666666666667
2,"leccion",0.0166666666666667
2,"luchas",0.0166666666666667
2,"pagarle",0.0166666666666667
2,"tiempo",0.0166666666666667
4,"dia",0.0444444444444445
4,"dinero",0.0444444444444445
3,"llegan",0.0357142857142857
4,"mas",0.0666666666666667
1,"chingada",0.02
1,"compra",0.02
1,"despues",0.02
1,"estan",0.02
1,"fin",0.02
1,"hsbc",0.02
1,"jamas",0.02
1,"literalmente",0.02
1,"madre",0.02
1,"mamadas",0.02
1,"mejor",0.02
1,"opcion",0.02
1,"pedo",0.02
1,"pense",0.02
1,"pesos",0.02
1,"quedaria",0.02
1,"todas",0.02
1,"tremendo",0.02
2,"aparecio",0.0166666666666667
2,"buena",0.0166666666666667
2,"celular",0.0166666666666667
2,"contratar",0.0166666666666667
2,"promo",0.0166666666666667
2,"seguro",0.0166666666666667
3,"amazon",0.0357142857142857
3,"canje",0.0357142857142857
3,"casi",0.0357142857142857
3,"codigos",0.0357142857142857
3,"coins",0.0357142857142857
3,"instantaneas",0.0357142857142857
3,"regalo",0.0357142857142857
3,"tarjetas",0.0357142857142857
2,"bro",0.0166666666666667
2,"dijeron",0.0166666666666667
1,"excelente",0.02
2,"excelente",0.0166666666666667
2,"pregunta",0.0166666666666667
2,"amamos",0.0166666666666667
2,"amablemente",0.0166666666666667
2,"areaespecializada",0.0166666666666667
2,"dio",0.0166666666666667
4,"abrazo",0.0444444444444445
1,"gracias",0.04
1,"informacion",0.02
1,"aplicacion",0.02
1,"atiende",0.02
1,"bbva",0.02
1,"buenos",0.02
1,"compair",0.02
1,"detalle",0.02
1,"dias",0.02
1,"hola",0.02
2,"hola",0.0166666666666667
1,"mayor",0.02
1,"mexico",0.02
1,"pepe",0.02
1,"podrias",0.02
1,"presentas",0.02
1,"saludae",0.02
1,"situacion",0.02
1,"sofia",0.02
1,"via",0.02
2,"abundancia",0.0166666666666667
2,"declaro",0.0166666666666667
2,"ganarme",0.0166666666666667
2,"manifestando",0.0166666666666667
2,"soeo",0.0166666666666667
2,"aumenten",0.0166666666666667
2,"buen",0.0166666666666667
2,"duda",0.0166666666666667
2,"hacer",0.0166666666666667
2,"historial",0.0166666666666667
2,"linea",0.0166666666666667
2,"mantenido",0.0166666666666667
2,"tdc",0.0166666666666667
1,"atendieron",0.02
1,"ayer",0.02
1,"llamada",0.02
1,"quedo",0.02
1,"rapido",0.02
1,"resuelto",0.02
