"topic","term","beta"
2,"gracias",0.0212765957446809
3,"gracias",0.0510948905109489
4,"gracias",0.0827067669172932
4,"bien",0.0300751879699248
3,"facil",0.0218978102189781
3,"mas",0.0218978102189781
4,"pae",0.0225563909774436
4,"dias",0.0225563909774436
2,"elijo",0.0212765957446809
2,"problemas",0.0212765957446809
2,"tarjeta",0.0212765957446809
2,"token",0.0212765957446809
1,"diseño",0.0294117647058824
1,"nuevo",0.0294117647058824
1,"tdc",0.0294117647058824
4,"cliente",0.0225563909774436
4,"servicio",0.0225563909774436
4,"tambien",0.0225563909774436
2,"the",0.0425531914893617
