"date","time","tweet","date_formatted"
2023-07-01,"04:07:54","respuesta favorable gracias","01_07_2023"
2023-07-02,"15:01:49","amamos ","02_07_2023"
2023-07-03,"20:36:54","mas techreo came super bien ademas estan dando regalos inveir ellosseguro facil","03_07_2023"
2023-07-04,"19:32:32","da gusto pae gran familia finsus saludos ","04_07_2023"
2023-07-04,"16:46:43","hola gracias pae gran familia finsus ","04_07_2023"
2023-07-04,"16:23:59","dias disponible","04_07_2023"
2023-07-04,"15:27:39","finsus siempre gustado aprovechando dejo enlace referido utiliza codigo castillo","04_07_2023"
2023-07-04,"14:11:14","pedida vale pena precio jajaja","04_07_2023"
2023-07-04,"09:42:38","duda","04_07_2023"
2023-07-05,"04:08:16","intenta buenazo","05_07_2023"
2023-07-06,"05:06:15","ay suena super bien justo anda gustando ahorita nu pae hacer crecer dinero jajk inversion quiero entrarle mas tema mas fan neobanks definitivamente fin mande alv banamex abrire ","06_07_2023"
2023-07-06,"02:59:57","facil entro pagos elijo tarjeta elijo plazo meses aceptar token error pagado problemas puedo hacer operaciones token problemas","06_07_2023"
2023-07-06,"02:24:11"," nuevo diseño tdc mamalon chavos pronto regrese usa voy solicitar nuevo diseño carisimo envio cieo obama cieo programa recompensas bastante aceptable eh ","06_07_2023"
2023-07-06,"02:11:00"," tarjetas credito tdc anualidad diseños chingones aunque usar tdc debes aprender usarla papucho personalmente uso va bien aceptan incluso gabacho checa","06_07_2023"
2023-07-07,"16:18:25","gracias justo llame dos dias aclaracion espero tardado salga bien","07_07_2023"
2023-07-07,"01:24:12","gracias acabo mandar correo","07_07_2023"
2023-07-08,"05:58:28","varias meses usuario heypro fin dieron menos puntos mas taza preferencial inversion","08_07_2023"
2023-07-09,"20:12:00","perfecto estare atenta gracias","09_07_2023"
2023-07-10,"17:49:42","rifadisimo personal gusto","10_07_2023"
2023-07-11,"23:55:24","sirvio gracias ","11_07_2023"
2023-07-11,"20:50:22","facil usar confiables cuales","11_07_2023"
2023-07-11,"03:16:37","llego ajolotarjeta encanto aca dejo unboxing vean mas detalles nuevo diseño","11_07_2023"
2023-07-11,"01:51:29","voy pedir mia preciosa tarjeta ","11_07_2023"
2023-07-13,"18:28:34","invitamos pae klar comiences disfrutar beneficios ","13_07_2023"
2023-07-13,"05:36:30","gracias mande correo","13_07_2023"
2023-07-14,"22:08:32","gracias repoe exacto pague cc","14_07_2023"
2023-07-14,"20:26:17","realmente dan servicio cliente medio","14_07_2023"
2023-07-14,"18:55:12","i highly recommend you tolegithhacks on instagram helped out when i had same issues","14_07_2023"
2023-07-15,"17:01:34","bueno gracias atentos tambien chequen nivel empatia clientes todas formas ","15_07_2023"
2023-07-15,"04:58:58","dato interesante dado conoces ","15_07_2023"
2023-07-15,"02:54:54","huy tambien stori mercado credito dias estan mandando sms notificaciones via app whats","15_07_2023"
2023-07-16,"15:27:21","gracias conteste","16_07_2023"
2023-07-17,"23:51:26","bien solicite otorgaron elegi diseño ajolotito ","17_07_2023"
2023-07-18,"18:15:18","gracias","18_07_2023"
2023-07-18,"17:01:27","this web developers mev strategy is the real deal earning him over eth per week and taking his crypto earnings to new heights","18_07_2023"
2023-07-18,"14:13:39","buenos dias gracias atencion llame servicio cliente bien aparece asi gracias ","18_07_2023"
2023-07-18,"05:07:34","buena noche mayo pedi ceificado regalo amazon heycoins viendo pedido aparece procesando algun estimado procesan pedidos gracias","18_07_2023"
2023-07-19,"23:03:01","jajajaja toman enserio perooo nunca dejare usar cheems videos jajaja hoy video cana","19_07_2023"
2023-07-19,"19:30:02","pueden atender aqui creo problema","19_07_2023"
2023-07-19,"16:56:45","esperemos responda sinceramente problemas buen gracias","19_07_2023"
2023-07-19,"03:18:39","mejor mucha diferencia nk","19_07_2023"
2023-07-21,"18:19:03","distintas cuentas siempre apoyado llega pasar bbva mejores experiencias","21_07_2023"
2023-07-21,"18:17:46","recomiendo","21_07_2023"
2023-07-21,"04:46:51","gracias explicaron amables","21_07_2023"
2023-07-22,"23:11:44","buena experiencia cashback compras fisicas compras online app facil usar permite inveir anual renovando dias actualmente utilizo cubrir gasto mensual contento","22_07_2023"
2023-07-22,"11:32:23","menos mes logre desbloquear grandes beneficios gracias brindar herramienta promover","22_07_2023"
2023-07-23,"22:10:43","enserio wow muchas gracia spor respuesta minutos mas termino abrir cuenta","23_07_2023"
2023-07-23,"22:09:50","ilimitadas puedes hacer todas quieras plazos gustes mejores rendimientos ofrecemos mejor plataforma digital permite libead financiera","23_07_2023"
2023-07-23,"17:54:30","gracias conteste","23_07_2023"
2023-07-24,"23:22:43","thanks for the rec i loved the idea of having digital bank thats pa of the multired consoium of atms but i guess it was not to be ","24_07_2023"
2023-07-24,"19:58:54","gracias","24_07_2023"
2023-07-27,"00:01:54","puedes empezar tarjetas credito garantizadas personas historial stori seria mejorcito recibir nomina tambien ayuda bancos tradicionales c","27_07_2023"
2023-07-28,"22:43:10","hoygan tdc coo fecha limite pago proximo jueves supone pague fecha problema correcto","28_07_2023"
2023-07-28,"21:02:59","yap","28_07_2023"
2023-07-28,"20:31:24","dame telefono servicio cliente","28_07_2023"
2023-07-29,"18:04:22","tomalo lado amable proximo recibo gratis heheheheh","29_07_2023"
2023-07-29,"05:56:41","jajaja verdad","29_07_2023"
2023-07-30,"18:08:07","gracias","30_07_2023"
