"date","time","tweet","date_formatted"
2023-04-01,"","gracias","01_04_2023"
2023-04-01,"","gracias comunique dieron folio seguimiento respecto situacion espera revuelva posible","01_04_2023"
2023-04-03,"","gracias tamos readys palnoe ","03_04_2023"
2023-04-03,"","bueno intento mas tarde gracias maite gusto saludae","03_04_2023"
2023-04-03,"","habla numero tarjeta hice asi ningun problema españa ","03_04_2023"
2023-04-03,"","this web developers mev strategy is gamechanger hes making over eth per week and you need to learn how","03_04_2023"
2023-04-04,"","cuento hice tampoco tenia historial tenia nubank ahi bien posterior realmente interesaba usar tarjetapero vi tenia pagare interesome registre cuenta solicite plastico","04_04_2023"
2023-04-06,"","resolvi gracias","06_04_2023"
2023-04-06,"","gracias darnos agita morir disenteria agua puerca bebedores ","06_04_2023"
2023-04-08,"","buenas tardes","08_04_2023"
2023-04-08,"","adivinen estoyque buena experiencia ","08_04_2023"
2023-04-11,""," seguramente veremos dando mas noticias innovacion servicios generando mas competencia industria financiera beneficia usuariosbancadigital numexico innovacion competenciafinanciera fintech","11_04_2023"
2023-04-11,""," gran ventaja experiencia años mercado ganando terreno jovenes servicios patrocinar festivales musica permite crecer junto clientes","11_04_2023"
2023-04-13,"","gracias volvi contestar dm","13_04_2023"
2023-04-13,"","gracias solucionaron problema","13_04_2023"
2023-04-14,"","gracias","14_04_2023"
2023-04-14,"","gracias respuesta pronta","14_04_2023"
2023-04-14,"","gracias pronta devolucion sirvio pagarle","14_04_2023"
2023-04-15,"","gracias mando dm brevedad","15_04_2023"
2023-04-15,"","ma gracias tio fantastico descuento checkup","15_04_2023"
2023-04-17,"","super gracias","17_04_2023"
2023-04-18,"","correcto esperare contacto pae arreglar situacion inversion pro ","18_04_2023"
2023-04-19,"","gracias","19_04_2023"
2023-04-19,"","excelente gracias sopoe tio igual manera quiero agregar error solucionado adicional dia recibi sms notificaban debido incidencia mostraba trabajando nuevamente gracias ","19_04_2023"
2023-04-19,"","gracias voy comunicarme entonces","19_04_2023"
2023-04-19,"","estan proceso resolver segun mensajes estan enviando saludos","19_04_2023"
