"date","time","tweet","date_formatted"
2024-01-01,"14:05:36","año nuevo novedades nuevas parece ajuste anualidad pro forzado parece mejor opcion","01_01_2024"
2024-01-01,"09:25:46","transmitir informacion fidedigna real lleva años operando","01_01_2024"
2024-01-02,"17:51:09","recomiendo puedes retirar hsbc inbursa comision","02_01_2024"
2024-01-04,"22:01:23","hoy fanshop pase super chido ademas hice amix ","04_01_2024"
2024-01-04,"12:03:48","opcion personal podria recomendae tambien buenas promociones msi","04_01_2024"
2024-01-04,"11:15:48","mejor","04_01_2024"
2024-01-05,"12:39:28","va gracias mande dm","05_01_2024"
2024-01-07,"18:53:21","mejor","07_01_2024"
2024-01-07,"17:46:48","puro mejor nu nu fonite foniteog","07_01_2024"
2024-01-08,"11:16:15","voy trabajar hermana oye entonnces valido papas oye tema depa jajajaja bueno agradezco alguien alla ayude resolverlo","08_01_2024"
2024-01-09,"23:55:06","pixel genio","09_01_2024"
2024-01-09,"00:42:33","bien señor lampi","09_01_2024"
2024-01-10,"13:37:20","uy contacte incluso mande video correo electronico señalo persona contesto actualice sistema operativo sigue igual sucede app apps bancos funcionan perfecto","10_01_2024"
2024-01-10,"12:36:49"," promocion clientes aprovecha compras temporada recibe recompensas efectivo list p","10_01_2024"
2024-01-11,"15:20:48","gracias","11_01_2024"
2024-01-13,"13:44:57","llame ayudaron gracias","13_01_2024"
2024-01-14,"14:57:03","limites jajaja gpt gratis","14_01_2024"
2024-01-15,"12:22:52","quedo solucionado fin semana gracias","15_01_2024"
2024-01-16,"18:32:25","listo quedo gracias","16_01_2024"
2024-01-17,"22:32:37","nu mejores andan buscando moverse","17_01_2024"
2024-01-17,"21:08:35","ocupan excelentes alternativas bancoaztecaenquiebra comisiones contratacion linea k puntos retirar nubank comisiones contratacion linea retiro efectivo supermercados","17_01_2024"
2024-01-17,"19:54:36","excelentes alternativas comisiones contratacion linea k puntos retirar nubank comisiones contratacion linea retiro efectivo supermercados","17_01_2024"
2024-01-17,"19:51:13","excelentes alternativas comisiones contratacion linea k puntos retirar nubank comisiones contratacion linea retiro efectivo supermercados","17_01_2024"
2024-01-17,"19:43:52","excelentes alternativas azteca comisiones contratacion linea k puntos retirar nubank comisiones contratacion linea retiro efectivo supermercados","17_01_2024"
2024-01-18,"12:58:15","celebramos años gracias confiar viaje apoyo fundamental","18_01_2024"
2024-01-19,"11:01:15","buen dia envie correo justo gracias","19_01_2024"
2024-01-19,"10:06:58","buenos dias maravillosa sorpresa cuenta amanecio ceros ","19_01_2024"
2024-01-21,"19:07:32","listo","21_01_2024"
2024-01-21,"18:42:05","raro realizado varias transacciones problema","21_01_2024"
2024-01-21,"09:09:53","mejor opcion rendimiento ","21_01_2024"
2024-01-21,"17:58:03","hola tambien gustaria unirme porfa","21_01_2024"
2024-01-21,"11:46:51","agrega app nunca fallado proceso contratacion agil pues par abres cuenta evalua tarjeta credito depositos transferencias inmediatas","21_01_2024"
2024-01-22,"17:18:41","dinero deberian darme gracias año servicios","22_01_2024"
2024-01-22,"16:00:41","gracias comprometio resolver problema fecha limite enero asi enseguida pondre contacto","22_01_2024"
2024-01-22,"13:55:08","gracias","22_01_2024"
2024-01-22,"12:57:27","agradezco atencion pondre contacto","22_01_2024"
2024-01-23,"12:10:13","mas listos ansiosos desconectate dias acustico tecatepalnoe ","23_01_2024"
2024-01-25,"21:11:05","funciona mejor ","25_01_2024"
2024-01-26,"22:23:25","jajajaja ame","26_01_2024"
2024-01-26,"17:41:58","jajaja","26_01_2024"
2024-01-29,"18:17:18","hola buenas tardes atiende luz placer saludae gusto podemos apoyae favor escribenos cuenta oficial twitter brindarle seguimiento solicitud compaie informacion correspondiente ","29_01_2024"
2024-01-29,"15:44:22","listo gracias","29_01_2024"
2024-01-30,"15:12:47","hola valdria pena hagan cambios dan resumen cambios realizados contrato manden hojas completas charlytip mejora experiencia cliente","30_01_2024"
