"date","time","tweet","date_formatted"
2023-08-01,"20:01:28","gracias seguimiento quedo resuelto problema","01_08_2023"
2023-08-01,"17:48:12","excelente servicio cieo dato cosa di datos bancarios pues uso comun cuenta digital utilizo mas ahi llegando transferencias adjunto evidencia","01_08_2023"
2023-08-01,"14:15:42","quedo solucionado gracias","01_08_2023"
2023-08-01,"04:41:41","recomiendo x","01_08_2023"
2023-08-02,"16:57:52","gracias respondi mensaje","02_08_2023"
2023-08-02,"04:21:34","estaria super","02_08_2023"
2023-08-04,"23:36:52","facil abre cuenta bancaria nuevos bancos digitales recomiendo mas integrado sistema bancario simplemente fintech","04_08_2023"
2023-08-04,"00:38:53","recuerdo creo rapido","04_08_2023"
2023-08-05,"23:09:34","hola buenas tardes ayudan confirmar monto maximo transferir cuenta puedo modificar limites favor gracias","05_08_2023"
2023-08-05,"04:58:31","gracias habia recomendado conocido daban prestamos salen entonces queria sugerirle opcion amable","05_08_2023"
2023-08-05,"01:22:22","creo acaba llegar gracias","05_08_2023"
2023-08-06,"23:28:23","jaja pasa mercado pago acuerdo maravilla","06_08_2023"
2023-08-07,"22:14:52","resolvieron gran servicio cliente","07_08_2023"
2023-08-07,"11:17:55","llego hrs espero llegado bien transferencia","07_08_2023"
2023-08-08,"16:00:40","hice ayer saque todaa lana mejor quedo llevo tiempo problemas tambien recomiendo jalando bien clientes pagan ahi saludos","08_08_2023"
2023-08-09,"19:43:25","hola gracias explique situacion agradezco respuesta brevedad","09_08_2023"
2023-08-09,"15:05:31","escribi ahi ayer pelaron","09_08_2023"
2023-08-10,"00:03:09","hoy primer dia regreso vida oficina mil gracias ","10_08_2023"
2023-08-12,"18:47:40","fin toco boletodorado ganador senti charlie fabrica chocolates camara faltan heypoints xbox","12_08_2023"
2023-08-12,"05:53:54","release notes mensaje typo terjeta gusto actualizacion hicieron ver tarjetas","12_08_2023"
2023-08-15,"21:50:22","justo paso momento final vuelve aparecer rato despues","15_08_2023"
2023-08-18,"18:05:07","gracias ","18_08_2023"
2023-08-18,"17:18:46","sugiero encarecidamente comunique bensonhack instagram solucionar problema relacionado cuenta ahi rapido confiable aun puedes graficarlos whatsapp ","18_08_2023"
2023-08-19,"15:02:37","gracias respondi dm","19_08_2023"
2023-08-22,"00:52:31","comunidarks recomendaron rappicard uso mas recompensas anualidad ademas da tarjeta dual entonces credito debito rappicard uso cosas mas especificas ej ticketmaster acepta problema","22_08_2023"
2023-08-23,"17:41:15","quedo resuelto favorablemente queja gracias","23_08_2023"
2023-08-25,"19:20:41","guen servicio traen siemrpe resuelven bien ","25_08_2023"
2023-08-25,"02:12:59","resolvieron cargo reconocido tarjeta siempre dicen pueden varios dias proceso tardo semana ","25_08_2023"
2023-08-28,"21:22:10","gracias lleno datos","28_08_2023"
2023-08-28,"17:12:16","gracias compair ","28_08_2023"
2023-08-30,"00:11:50","queja hablan quejas trabajan bien ","30_08_2023"
2023-08-31,"04:02:55","recompensa total banoe llegan menos dias habiles mail","31_08_2023"
