"date","time","tweet","date_formatted"
2023-10-02,"19:50:21","gracias","02_10_2023"
2023-10-03,"23:23:14","tambien quiero ","03_10_2023"
2023-10-03,"18:33:09","gracias acabo escribir","03_10_2023"
2023-10-05,"16:30:02","azteca bien tambien padre manejo","05_10_2023"
2023-10-06,"21:54:50","hora buena jorge persona reconocida gremio mielero reputacion vale","06_10_2023"
2023-10-11,"03:04:58"," orale cool ofrece informacion finanzas personales aplicacion habra darle opounidad podcast","11_10_2023"
2023-10-12,"05:36:25","ganeee quieres pae fiebre puedo referir gracias","12_10_2023"
2023-10-13,"16:37:56","gracias volvi llamar rapido","13_10_2023"
2023-10-13,"04:04:23"," estrellas sopoe saben duo dinamico ","13_10_2023"
2023-10-14,"22:34:37","quedo espera gracias","14_10_2023"
2023-10-14,"11:56:33","felicidades hicieron posible","14_10_2023"
2023-10-16,"01:22:55","gracias","16_10_2023"
2023-10-17,"18:13:26","procedo gracias apoyo","17_10_2023"
2023-10-18,"12:23:13","recibi ayuda fredhack telegram ayudo recuperar cuenta habilitar autenticacion dos factores cuenta realmente impresionado tambien ayudara problemas pirateria","18_10_2023"
2023-10-19,"07:14:39","gracias conoci use hoy dejo definitivamente mio recomiendo bancos f","19_10_2023"
2023-10-20,"23:13:05","vamos sorprender fans queremos dar mas punto elevar experiencia","20_10_2023"
2023-10-21,"03:46:33","vamos sorprender fans queremos dar mas punto elevar experiencia","21_10_2023"
2023-10-21,"02:21:31"," inversion","21_10_2023"
2023-10-22,"03:12:45","vamos sorprender fans queremos dar mas punto elevar experiencia","22_10_2023"
2023-10-23,"19:55:44","va poner bueno","23_10_2023"
2023-10-23,"03:32:06","igual tambien sorprendi","23_10_2023"
2023-10-23,"03:23:34","tambien","23_10_2023"
2023-10-24,"21:07:14","deberian sorprender app funcional dias borrando instalando dura acceso util","24_10_2023"
2023-10-24,"19:44:21","listo enviado","24_10_2023"
2023-10-24,"08:53:57","vamos sorprender fans queremos dar mas punto elevar experiencia","24_10_2023"
2023-10-25,"23:43:33","buena vez equivoco decia diferente bancos normales incluso apair","25_10_2023"
2023-10-25,"23:19:19","bueno tiempo tarjeta ira cajon nunca ","25_10_2023"
2023-10-25,"22:15:53","buena opcion","25_10_2023"
2023-10-25,"21:43:42","bueno toda historia final adios","25_10_2023"
2023-10-25,"21:36:59","tarjeta plata trae buen cashback deberias darle revisada","25_10_2023"
2023-10-26,"20:20:52","spa hospitality bueno siempre agradece masajito aguantar dias festival checa beneficios abono mañana prevents exclusiva tecatepalnoe ","26_10_2023"
2023-10-26,"19:36:54","gracias envie duda","26_10_2023"
2023-10-26,"18:51:17","ok estare pendiente gracias","26_10_2023"
2023-10-27,"20:52:45","gracias ultimas recompensas adios vaquero bueno duro","27_10_2023"
2023-10-27,"20:52:13","mañana compramos ","27_10_2023"
2023-10-27,"20:19:11"," gracias venta exclusiva agotada totalidad venta libre boleto tempranero tendra lugar mañana octubre pair hrs","27_10_2023"
2023-10-27,"20:08:25","gracias gracias venta tempranera tqm","27_10_2023"
2023-10-27,"19:47:04","tecate pal noe aprovechen hoy buenos descuentos abono tempranero","27_10_2023"
2023-10-27,"18:44:33","gracias confianza felices formes pae familia klar queremos","27_10_2023"
2023-10-27,"18:10:40","seria mas adecuado despues costo menos meses prueba scotia tarjeta ideal despues decides","27_10_2023"
2023-10-28,"20:57:12","gracias sigan propuestas inovadoras seguramente atraeran millones clientes marcaran despues banca mexico seguro felicitaciones paran bloquearon redes sociales genios cansan ganar","28_10_2023"
2023-10-28,"18:56:45","bueno tiempo tarjeta ira cajon nunca ","28_10_2023"
2023-10-28,"18:50:44","adquiri membresia mega fan salio beneficio venta exclusiva tecate","28_10_2023"
2023-10-28,"18:50:27","cayo actualizacion gracias","28_10_2023"
2023-10-28,"18:44:10","padrisimas nuevas membresias encontre ajusta necesidades contrate recomiendo q","28_10_2023"
2023-10-28,"15:39:01","depositaron verdad contento servicios espero recapaciten valoren decisiones","28_10_2023"
2023-10-28,"14:40:52","correcto","28_10_2023"
2023-10-28,"13:35:53","parece tipo gasolinaras vip","28_10_2023"
2023-10-28,"13:07:09","bienvenido uala gracias feedback constructivo varios temas resuelven proximos updates mudarse arquitectura bancaria facil afecta cieos procesos viene mejor gracias","28_10_2023"
2023-10-28,"01:13:56","gracias pude comunicarme creo soluciono problema gracias ","28_10_2023"
2023-10-29,"02:17:34","buena publicidad ","29_10_2023"
2023-10-30,"23:34:34","estudiante idea brillante reto emprende espera paicipa gana","30_10_2023"
2023-10-30,"21:59:22","gracias ","30_10_2023"
2023-10-30,"21:49:32","ahorita mando correo numero telefonico contacto","30_10_2023"
2023-10-30,"19:03:02","dale gracias","30_10_2023"
2023-10-30,"16:28:53","checa creo potencial","30_10_2023"
2023-10-31,"22:23:42","bien mero alcanzo ","31_10_2023"
2023-10-31,"21:13:51","gracias confianza felices formes pae familia klar ","31_10_2023"
2023-10-31,"18:51:34","verdaderamente interesante herramienta inversion personal seria unico tarjeta pagaria plan segun plan pagues dejas dinero dias pueden dar interes anual","31_10_2023"
2023-10-31,"18:05:15","estan ahorros contigo gracias","31_10_2023"
2023-10-31,"18:01:11","gracias siempre super atentos efectividad resolver dudas","31_10_2023"
2023-10-31,"17:44:55","gracias respuesta conteste dm saludos","31_10_2023"
2023-10-31,"15:53:03","servie","31_10_2023"
2023-10-31,"14:25:33","estudiante idea brillante reto emprende espera paicipa gana","31_10_2023"
2023-10-31,"03:59:10","uf buena idea pague coins","31_10_2023"
2023-10-31,"03:53:34","mejor anualidad mensualidad ","31_10_2023"
