"date","time","tweet","date_formatted"
2023-09-01,"18:06:14","felices contentos clientes hoy pudieron estrenar nuevo hogar inovaserviciosfinancieros cuauhtemocchihuahua creditos","01_09_2023"
2023-09-01,"16:25:34","perfecto pude entrar app segun dispositivo compatible aunque mas recientes samsung prefiero cambiar cambiar equipo hola saludos","01_09_2023"
2023-09-01,"00:51:39","bien padre","01_09_2023"
2023-09-04,"19:50:21","aplausos equipo ","04_09_2023"
2023-09-05,"23:52:00","quisiera saber puedo acreedor tarjeta credito tradicional debido llevo mas seis meses uso garantizada mejorado historial significativamente","05_09_2023"
2023-09-05,"19:25:28","jajaja","05_09_2023"
2023-09-05,"03:39:27","implementado chatbot interesante llamado heygpt resuelve dudas productos sorprendio bastante creo gran avance mejorar experiencia atencion clientes aca cuento","05_09_2023"
2023-09-05,"02:53:41","uso siempre resuelven rapido mil veces mas rapido vs banamex haha","05_09_2023"
2023-09-10,"21:18:12","salido buena","10_09_2023"
2023-09-12,"22:40:28","gracias","12_09_2023"
2023-09-12,"02:35:10","chulada cuenta buenos rendimientos aplicacion funcionando comisiones ninguna especie necesito ninguna institucion nunca cambien ehhh asi empezo klar cumplio ","12_09_2023"
2023-09-13,"23:20:30","feliz dia programador trabajo esencial funcionamiento sociedad actual traemos datos impoantes dia profesion heybancomedia diadelprogramador programadores","13_09_2023"
2023-09-13,"20:45:41","hola gracias conteste via dm","13_09_2023"
2023-09-13,"20:32:13","solucionado gracias","13_09_2023"
2023-09-13,"16:02:39","ayuda","13_09_2023"
2023-09-14,"23:17:46","horas venus todavia estan tiempo ","14_09_2023"
2023-09-14,"15:38:55","inviee cuestion minutos celular obten ganancias semana conoce hacer crecer dinero inv","14_09_2023"
2023-09-15,"21:23:57","sirvio actualizar version android mas reciente abre","15_09_2023"
2023-09-15,"16:46:03","gracias justo funciono","15_09_2023"
2023-09-16,"23:38:12","elimine cache ajustes app funciono","16_09_2023"
2023-09-16,"23:23:44","funciono gracias","16_09_2023"
2023-09-16,"20:21:53","entren ajustes app borren cache funciona","16_09_2023"
2023-09-16,"05:17:38","funciono","16_09_2023"
2023-09-16,"04:56:18","gracias quedo resuelto ","16_09_2023"
2023-09-16,"03:28:28","gracias intentare ","16_09_2023"
2023-09-17,"23:18:02","gracias tambien funciono reiniciando ","17_09_2023"
2023-09-17,"15:24:56","qiedo resuelto gracias","17_09_2023"
2023-09-18,"22:22:18","funciono gracias mejor cuenta oficial","18_09_2023"
2023-09-18,"18:10:10","gracias informacion sirvio poder acceder aplicacion deberian publicar solucion redes usuarios puedan solucionarlo","18_09_2023"
2023-09-19,"18:10:58","confirmo hoy septiembre funciona gracias","19_09_2023"
2023-09-19,"17:56:50","colonia mas bonita cool latinoamerica esperando descubre jonnah moreno increibles recintos disfruta increible belleza heymedia heydelocal guadalajara","19_09_2023"
2023-09-19,"17:55:31","lugar perfecto sentae trabajar tomas delicioso cafe despues ir joya literatura segunda mano descubre jonnah moreno lugares secretos colonia americana heymedia heydelocal guadalajara","19_09_2023"
2023-09-19,"17:52:22","cafeterias arquitectura unica bonitos pisos jonnah moreno muestra cara mas apacible colonia americana considerada mas bonita latinoamerica heymedia heydelocal guadalajara","19_09_2023"
2023-09-19,"16:43:55","gracias mandar actualizacion v app android aplicacion funciona nuevamente tras dias muea varios gracias","19_09_2023"
2023-09-19,"05:21:53","exacto normal","19_09_2023"
2023-09-20,"22:28:33","listo gracias ","20_09_2023"
2023-09-20,"20:42:03","hoy restablecio aplicacion gracias","20_09_2023"
2023-09-20,"02:42:16","x problema","20_09_2023"
2023-09-20,"02:09:44","gracias respuesta pude habilitar app","20_09_2023"
2023-09-22,"22:00:52","nunca fallado contrario mas estables","22_09_2023"
2023-09-23,"17:15:22","gracias deberia informacion privada mejoren saludos","23_09_2023"
2023-09-24,"15:49:15","puedo pedir tarjeta perder datos anteriores gracias","24_09_2023"
2023-09-26,"23:06:29","siempre recomendando llevo meses tarjeta regresar banamex sera solucion","26_09_2023"
2023-09-26,"22:30:41","hola agradecer publicamente atencion recibida momento mencionar recibi productos solicitado tienda shop gracias","26_09_2023"
2023-09-26,"18:47:23","envie","26_09_2023"
2023-09-27,"19:00:56","gracias amo ","27_09_2023"
2023-09-28,"00:50:29","increible alturas ir activar netkey movil sucursal cambias telefono aprender comprometer seguridad simple rapido misma app","28_09_2023"
2023-09-30,"05:35:34","sigo pensando gran producto","30_09_2023"
