"date","time","tweet","date_formatted"
2024-03-01,"23:39:44","meses tdc garantizada buen uso van graduar recuerdo contrate decia meses buen uso ","01_03_2024"
2024-03-01,"19:35:31","nunca falla ","01_03_2024"
2024-03-01,"04:46:39","gracias sali apuro gracias ","01_03_2024"
2024-03-02,"14:24:38","gracias revise","02_03_2024"
2024-03-06,"20:09:14","jaja gracias ","06_03_2024"
2024-03-06,"16:28:42","recomiendo","06_03_2024"
2024-03-08,"02:06:50","sabado perpetuo ","08_03_2024"
2024-03-13,"21:34:41","gracias atencion","13_03_2024"
2024-03-13,"20:40:01","gracias quedo ","13_03_2024"
2024-03-15,"01:51:01","agree contigo versh ","15_03_2024"
2024-03-16,"16:45:25","hice mail sugerencia app cuanto den facilidades modificaractualizar dato numero cel responden comunique telefono ver digan ahi facilidad ayuda viene nomas sacan apuros ","16_03_2024"
2024-03-18,"17:23:05","gracias atencion","18_03_2024"
2024-03-18,"17:13:48","hola buenos dias atiende luz placer saludae impoantes comentarios interesa saber mas experiencia puedes brindar mayor detalle situacion presentas favor ","18_03_2024"
2024-03-19,"18:48:19","gracias hable via telefonica resolvio inquietud","19_03_2024"
2024-03-22,"21:40:28","amo gran experiencia ir shop lxs tqm","22_03_2024"
2024-03-23,"21:38:20","recomendaron charliehack telegram ayudae solucionar problema recupere mio ayuda asi recomiendo mejor mas rapida opcion","23_03_2024"
2024-03-26,"06:00:06","buen dia alguna promocion msi pago tenencia saludos","26_03_2024"
2024-03-27,"20:47:08","recomiendo aunque siento dificil aprueben nunca historial banamex menos escuchado casos asi primera tdc recomiendo tiempo daban recompensas compras tarjeta","27_03_2024"
2024-03-27,"02:21:57","gracias invitarnos conocer mas coleccion retro asi detalles obsequios tarjeta anime acorde comprar boletos cine nueva pelicula rascaldoesnotdream","27_03_2024"
2024-03-28,"20:07:52","hola encantados asistie mejor manera invitamos escribas dm gusto ayudaremos toda informacion requieres pendientes","28_03_2024"
2024-03-28,"18:00:54","gracias didi confianza incrementar linea credito k mean ofreciendo credito gracias faltaria msi","28_03_2024"
2024-03-28,"17:31:57","hola gracias acabo enviar correo","28_03_2024"
2024-03-30,"19:47:37","hola mande dm ","30_03_2024"
2024-03-30,"18:47:15","ayer gane sombrerito real quedaba outfit jajajaja feliz festival chulearon ","30_03_2024"
2024-03-31,"23:19:35","diferencia demostrado verdadera comprension necesidades clientes gracias hacer posible proyectos hagan realidad ","31_03_2024"
2024-03-31,"02:47:12","amo chingo ","31_03_2024"
