"date","time","tweet","date_formatted"
2023-06-01,"","gracias apoacion saludos","01_06_2023"
2023-06-01,"","llamo servicioalcliente mexico verdad asi debe tratar cliente mas meter dinero aprendan","01_06_2023"
2023-06-01,"","buen dia mas facil obtenga credito alguna caja popular peor lucha saludos","01_06_2023"
2023-06-02,"","gracias","02_06_2023"
2023-06-02,"","gracias quedo espera","02_06_2023"
2023-06-02,"","deje dm solicitando valioso apoyosaludos","02_06_2023"
2023-06-02,"","gracias mes gratis","02_06_2023"
2023-06-03,"","gracias envie duda","03_06_2023"
2023-06-03,"","gracias responder da gusto solucionado rapido ojala asi caso saludos","03_06_2023"
2023-06-03,"","gracias lic tres años dice deben negar volvere hacerlo amable atencion abrazo","03_06_2023"
2023-06-03,"","gracias hare nuevo abrazo fuee ","03_06_2023"
2023-06-03,"","favor gracias","03_06_2023"
2023-06-05,"","gracias saludos","05_06_2023"
2023-06-05,"","gracias responderacabo lograr desbloqueo","05_06_2023"
2023-06-05,"","espero","05_06_2023"
2023-06-06,"","jajajajjaja vic trabajo duda dudes mandarme mensajito","06_06_2023"
2023-06-07,"","gracias","07_06_2023"
2023-06-07,"","buenos diseños","07_06_2023"
2023-06-08,"","hola","08_06_2023"
2023-06-10,"","siempre control finanzas tambien movimientos gracias notificaciones qu","10_06_2023"
2023-06-12,"16:52:11","gracias pendiente informacion","12_06_2023"
2023-06-13,"20:36:26","feliz años santander free cambie tarjeta parecio chulada recomiendo ampliamente","13_06_2023"
2023-06-15,"22:51:17","hola caso comunique alli resolvieron founa sencillo rapido suee","15_06_2023"
2023-06-15,"18:35:12","mas facil now saque tarjetas credito","15_06_2023"
2023-06-16,"19:41:04","perfecto ire punto gracias bebe lol","16_06_2023"
2023-06-16,"18:03:36","probado bancos tradicionales diferentes momento mejor manejando msi permite ver exactamente cuanto debes total da lista pagos futuros tendras hacer mes mes da cashback efectivo","16_06_2023"
2023-06-17,"18:00:08","oye excelente tiempo respuesta amable personal centro atencion ","17_06_2023"
2023-06-18,"17:29:39","listo gracias","18_06_2023"
2023-06-19,"19:52:35","gracias","19_06_2023"
2023-06-19,"14:43:55","gracias","19_06_2023"
2023-06-19,"15:36:18","servie","19_06_2023"
2023-06-19,"13:32:11","sencillo hacer tipo movimientos celular ademas super tasa rendimiento","19_06_2023"
2023-06-20,"18:20:40","gracias","20_06_2023"
2023-06-20,"22:22:06","hola mande dm gracias ","20_06_2023"
2023-06-20,"21:26:18","gracias entrare levantar repoe","20_06_2023"
2023-06-20,"06:47:43","mas coqueta beneficios reales ","20_06_2023"
2023-06-20,"06:10:33","listos palnoe","20_06_2023"
2023-06-21,"21:22:49","gracias arreglado","21_06_2023"
2023-06-21,"16:20:21","gracias ","21_06_2023"
2023-06-21,"22:03:28","gracias resuelto gracias sopoe excelente servicio ","21_06_2023"
2023-06-21,"03:47:49","gracias felicitacion ","21_06_2023"
2023-06-21,"16:32:41","nunca habia tipo situacion metodos pago increible operacion sencilla pagar tarjeta pagina web conviee toda mala experiencia usuario servicio","21_06_2023"
2023-06-22,"16:25:12","vaaaaa gracias dato","22_06_2023"
2023-06-22,"15:16:55","buen dia saque carro usado merkauto autorizaron credito lunes junio fecha llaman firmar contrato factura puedo saber listo tardando proceso gracias","22_06_2023"
2023-06-22,"20:38:17","esten bien atentos llega gracias compao correo vean quieren llegar ponganse listos","22_06_2023"
2023-06-23,"17:14:56","amo bien cabron jaja","23_06_2023"
2023-06-24,"02:10:01","fiiiin modificaron app detecta huella bonita seccion metricas gastos ah pague temas luz","24_06_2023"
2023-06-27,"07:20:57","verdad","27_06_2023"
2023-06-28,"17:42:50","gracias","28_06_2023"
2023-06-28,"04:45:09","gracias hice quedo ","28_06_2023"
2023-06-28,"22:48:04","resolvio volviendo instalar app","28_06_2023"
2023-06-28,"17:28:12","gracias envio","28_06_2023"
2023-06-29,"17:45:59","buen dia real","29_06_2023"
2023-06-29,"03:03:50","ps aplicacion mejor visto hsbc banamex nel probado","29_06_2023"
2023-06-30,"17:26:15","gracias ","30_06_2023"
2023-06-30,"19:02:11","abri cuenta amo puedes recomiendo inversion ahi ahorros pro mejores rendimientos ","30_06_2023"
