"date","time","tweet","date_formatted"
2023-12-01,"21:23:51"," promocion clientes aprovecha compras temporada recibe recompensas efectivo list p","01_12_2023"
2023-12-01,"16:26:31","gustaba repoaba buro credito","01_12_2023"
2023-12-01,"08:55:31","salido luz coreo completa gusto final indio llama obra interpretan","01_12_2023"
2023-12-02,"20:22:15","siempre recomendando llevo meses tarjeta regresar banamex sera solucion","02_12_2023"
2023-12-02,"11:30:48","terminos condiciones favor","02_12_2023"
2023-12-05,"15:45:46","jajajaja","05_12_2023"
2023-12-07,"10:11:29","breve leccion economia aprende pagarle cobrar depositar tiempo luchas gazagenocide","07_12_2023"
2023-12-07,"09:35:45"," llegan nuevos instrumentos financieros ofrecen ciento dinero adicional dia guardes dinero cobra mueves mas seis meses","07_12_2023"
2023-12-09,"16:38:30","jamas pense quedaria despues todas mamadas estan literalmente mejor opcion fin chingada madre hsbc tremendo pedo compra pesos","09_12_2023"
2023-12-09,"16:12:02","correcto mas preambulos","09_12_2023"
2023-12-14,"18:55:33","aparecio buena promo contratar seguro celular","14_12_2023"
2023-12-14,"11:19:37","canje coins tarjetas regalo amazon instantaneas llegan codigos casi ins","14_12_2023"
2023-12-14,"10:13:06","excelente pregunta dijeron bro","14_12_2023"
2023-12-14,"10:10:39","canje coins tarjetas regalo amazon instantaneas llegan codigos casi instante recuerdan paso meses ","14_12_2023"
2023-12-15,"16:13:32","confirmo dia hoy cambie coins correo confirmacion viene codigo cool realizo compra ","15_12_2023"
2023-12-17,"16:29:51","amamos recompensas ","17_12_2023"
2023-12-17,"12:08:17","patrocine mas juegos maratondevir","17_12_2023"
2023-12-18,"10:31:35","evalue cambiar nu debido tasa rendimiento wow gratamente sorprendida","18_12_2023"
2023-12-19,"21:07:28","amablemente areaespecializada dio solucion r","19_12_2023"
2023-12-22,"17:50:55","recomiendo atencion inmediata tambien abrazo felices fiestas abrazo toda familia","22_12_2023"
2023-12-22,"17:37:53","entiendo baz transfiero credito azteca entra compra genera comision recomiendo accesible","22_12_2023"
2023-12-22,"15:58:18","excelente gracias informacion","22_12_2023"
2023-12-22,"11:43:33","hola pepe buenos dias atiende sofia gusto saludae podrias compair via dm mayor detalle situacion presentas aplicacion bbva mexico favor ","22_12_2023"
2023-12-27,"09:01:38","manifestando ganarme soeo declaro abundancia","27_12_2023"
2023-12-28,"22:25:18","hola mantenido buen historial duda hacer aumenten linea credito tdc","28_12_2023"
2023-12-30,"09:31:05","gracias ayer atendieron rapido llamada quedo resuelto","30_12_2023"
