"date","time","tweet","date_formatted"
2023-05-12,"","gracias","12_05_2023"
2023-05-12,"","llego gracias","12_05_2023"
2023-05-12,"","gusto saludae erich ponemos disposicion cuenta correo electronico gusto atenderemos dudas escribenos asesoriacondusefgobmx recuerda condusef apoya","12_05_2023"
2023-05-12,"","mejor lt","12_05_2023"
2023-05-12,"","productos mas esperados año youtube unboxing activacion pequeña navegacion app tarjeta metalica compao link video tarjetadecredito","12_05_2023"
2023-05-13,"","mejor visto","13_05_2023"
2023-05-15,"","excelente gracias","15_05_2023"
2023-05-15,"","gracias respuesta","15_05_2023"
2023-05-15,"","llamar pelear resta tiempo kilos neuronas practicamente resta vida pitero","15_05_2023"
2023-05-15,"","hola excelente tarde podrian ayudar mande dm favor gracias ","15_05_2023"
2023-05-15,"","encanta manda notificacion cobro ","15_05_2023"
2023-05-15,"","algun tiempo estimado respuesta","15_05_2023"
2023-05-15,"","conociendo contraseña usuario entrar facilmente dispositivo llegue algun tipo notificacion via sms correo electronico sabes bien","15_05_2023"
2023-05-15,"","explica","15_05_2023"
2023-05-16,"","hola hoy mañana tenia nuevo usuario funciono normalidad app","16_05_2023"
2023-05-16,"","razon","16_05_2023"
2023-05-16,"","garantia creo voy bien cuantos meses normales inversion nomina cuenta debitos ahi ","16_05_2023"
2023-05-16,"","bueno cambie nomina","16_05_2023"
2023-05-16,"","gracias avisar","16_05_2023"
2023-05-16,"","buen dia envie mensaje espero puedan ayudar gracias","16_05_2023"
2023-05-16,"","buenos dias vez mas sigo espera","16_05_2023"
2023-05-17,"","gracias quedo resuelto","17_05_2023"
2023-05-17,"","excelente mitad semanapara aun duda funciona tarjeta garantizada ","17_05_2023"
2023-05-17,"","solicito apoyo","17_05_2023"
2023-05-17,"","excelente mitad semanapara aun duda funciona tarjeta garantizada ","17_05_2023"
2023-05-18,"","quedo gracias","18_05_2023"
2023-05-18,"","tqm ","18_05_2023"
2023-05-19,"","ok gracias","19_05_2023"
2023-05-19,"","jajaja siii dias chale","19_05_2023"
2023-05-19,"","resuelto gracias equipo","19_05_2023"
2023-05-20,"","agradecido ayudaron aclaracion rapidisimo dia mas feliz haber dejado banca tradicional ","20_05_2023"
2023-05-21,"","gracias ","21_05_2023"
2023-05-21,"","hola buen dia","21_05_2023"
2023-05-22,"","gracias ","22_05_2023"
2023-05-22,"","listo enviado saludos","22_05_2023"
2023-05-22,"","gusta bajarles mandado bancos españoles dominan pais","22_05_2023"
2023-05-23,"","presumiendo anual klar decide sacar tentador","23_05_2023"
2023-05-23,"","resuelveme urge hacer compra","23_05_2023"
2023-05-23,"","recomiendo ampliamente usen alternativas llamados bancos tradicionales bancos estan cobrando alguna comision tipo cuentas debito peor aun estan generando entonces estan lugar incorrecto","23_05_2023"
2023-05-24,"","gracias saludos","24_05_2023"
2023-05-24,"","bueno dijeron tenia marcar quedo","24_05_2023"
2023-05-24,"","ay paso afounadamente jejeje","24_05_2023"
2023-05-25,"","gracias respondi","25_05_2023"
2023-05-25,"","jaja nel","25_05_2023"
2023-05-27,"","okay gracias","27_05_2023"
2023-05-27,"","funciono nuevamente aplicacion","27_05_2023"
2023-05-27,"","contestan tambien","27_05_2023"
2023-05-29,"","listo mande gracias ","29_05_2023"
2023-05-29,"","siempre control finanzas tambien movimientos gracias notificaciones qu","29_05_2023"
2023-05-29,"","quiero trabajar ayudan diciendome","29_05_2023"
2023-05-30,"","gracias","30_05_2023"
2023-05-30,"","siempre control finanzas tambien movimientos gracias notificaciones qu","30_05_2023"
2023-05-30,"","eficiencia","30_05_2023"
2023-05-31,"","gracias nunca contesto afounadamente quedado resuelto","31_05_2023"
2023-05-31,"","hola abre cuenta obten boleto dorado mes ganar recomiendo muchisimo cuenta reseñan bien varios youtubers finanzas","31_05_2023"
2023-05-31,"","gracias boleto dorado ","31_05_2023"
