"date","time","tweet","date_formatted"
2024-04-04,"08:41:17","akamba regresa gracias aprovecha venta pre cael presentada disfruta etapa unica","04_04_2024"
2024-04-04,"01:05:10","mio resolvio facil entra banca linea computadora dira bloqueado pones token cel listo suee","04_04_2024"
2024-04-05,"02:55:10","mas suficiente","05_04_2024"
2024-04-07,"23:22:19","recomendaron charliehack telegram ayudae solucionar problema recupere mio ayuda asi recomiendo mejor mas rapida opcion","07_04_2024"
2024-04-10,"21:57:10","tambien necesito ayuda","10_04_2024"
2024-04-10,"16:53:34","listo","10_04_2024"
2024-04-10,"16:05:30","gracias solucione","10_04_2024"
2024-04-12,"17:19:20","buenos dias llevo fin semana tratando pagar tarjetas transferir cuenta principal regresan todas transferecias ayuda","12_04_2024"
2024-04-15,"23:44:20","asi gano carrera fintech aplicacion siempre funciona amigable cliente","15_04_2024"
2024-04-16,"17:41:40","gracias","16_04_2024"
2024-04-17,"04:45:42","gracias ","17_04_2024"
2024-04-18,"17:28:23","gracias","18_04_2024"
2024-04-18,"15:59:11","amo gracias pude entrar app saludos ","18_04_2024"
2024-04-18,"04:34:45","sigue dejarme aumentar linea tarjeta credito garantizada","18_04_2024"
2024-04-21,"15:21:43","confirmo gracias estimado","21_04_2024"
2024-04-23,"22:52:05"," acuerdo gracias","23_04_2024"
2024-04-23,"21:30:12","tio van graduar tdc garantizada mas año saque recuerdo decian meses buen uso ayuda c","23_04_2024"
2024-04-25,"00:51:24","duda ver problemas aumentar linea credito tarjeta garantizada app deja marca error pasa igual telefonos","25_04_2024"
2024-04-26,"13:30:56","wey mejor puedo pagar apple pay ","26_04_2024"
