"date","time","tweet","date_formatted"
2024-02-01,"14:25:36","encantan respuestas fallas repoadas app ","01_02_2024"
2024-02-01,"00:51:32","debito puedes pedir nu app tmb piden minimo cobran manejo cuenta abri xq pedo nomina banamex usaba ahorrar uso casi heejej tj fisica costo creo","01_02_2024"
2024-02-02,"11:11:22","aprovecho tuit recomendarles lqm sola queja dos años","02_02_2024"
2024-02-06,"11:34:36","interesante","06_02_2024"
2024-02-07,"02:05:30","mejor aumenten lineas credito ","07_02_2024"
2024-02-08,"20:20:59","ilimitado jajajaja suena increible","08_02_2024"
2024-02-08,"19:16:00","mas agradecido peenecer ocupan solucione mero bueno thkss","08_02_2024"
2024-02-08,"18:30:39","encanta app simplemente increible ademas super intuitiva cashback todas compras","08_02_2024"
2024-02-08,"05:52:22","aaawww bonito cola ","08_02_2024"
2024-02-09,"13:05:02","gracias","09_02_2024"
2024-02-10,"10:12:37","trae humilde chiquito","10_02_2024"
2024-02-11,"11:40:38","preguntan conseguir tarjeta pueden sacar diseños elegir","11_02_2024"
2024-02-12,"20:17:49","empezare hacer gracias","12_02_2024"
2024-02-12,"16:43:13","jajaj fijat dije fin so far so good ","12_02_2024"
2024-02-12,"16:11:52","mira amixe fin abri cuenta llego super rapido dias dhl pues encantado ","12_02_2024"
2024-02-13,"17:03:36","celebra amor estilo san valentin descubre ultimas colecciones marcas favoritas aqui somoshey heymedia sanvalentin regalos","13_02_2024"
2024-02-13,"16:16:21","comerciales ganadores kansas chiefs dejo superbowl año somoshey heymedia comerciales sblviii michaelcera jlo mainscorsese","13_02_2024"
2024-02-13,"12:07:46","favor apoyo saber modulos cdmx gracias","13_02_2024"
2024-02-19,"12:04:17","arreglo gracias","19_02_2024"
2024-02-20,"09:38:29","tenencia msi amo ","20_02_2024"
2024-02-21,"15:10:57","fin recupere cuenta amo ","21_02_2024"
2024-02-22,"10:15:48","perfecto","22_02_2024"
2024-02-29,"21:07:53","gracias informacion util","29_02_2024"
